author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300932847/,Москва,sale,flat,10,14,1,65.2,-1,0,35000000,Мещанский, Гиляровского,50,Проспект Мира,
Юлия Шмелева,realtor,https://www.cian.ru/sale/flat/301890265/,Москва,sale,flat,8,12,1,35.2,-1,0,13900000,Кунцево,Кунцевская ,19К3,Рабочий посёлок,
SITRealty,real_estate_agent,https://www.cian.ru/sale/flat/300609717/,Москва,sale,flat,4,7,1,40.0,-1,0,9850000,, Медовая Долина,2,Санино,Баркли Медовая долина
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301897396/,Москва,sale,flat,37,37,1,48.0,-1,0,40000000,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
Unique,real_estate_agent,https://www.cian.ru/sale/flat/287678758/,Москва,sale,flat,4,26,1,46.0,-1,0,32000000,Очаково-Матвеевское,Нежинская ,5к2,Давыдково,Городские резиденции SPIRES
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/295758505/,Москва,sale,flat,6,9,1,32.8,-1,0,8900000,Печатники,Шоссейная ,3,Печатники,
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/293760838/,Москва,sale,flat,18,48,1,42.4,-1,0,19450000,Хорошево-Мневники, Народного Ополчения,15К1,Народное Ополчение,Wellton Towers
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/299888104/,Москва,sale,flat,44,65,1,52.0,-1,0,44000000,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
ID 113174200,homeowner,https://www.cian.ru/sale/flat/301362066/,Москва,sale,flat,8,9,1,33.0,-1,0,10540000,Черемушки, Цюрупы,15К3,Новые Черёмушки,
Никита Гаврилов,realtor,https://www.cian.ru/sale/flat/301850597/,Москва,sale,flat,4,12,1,35.2,-1,0,11950000,Царицыно,Кавказский бульвар,11,Кантемировская,
Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/297087850/,Москва,sale,flat,51,75,1,123.0,-1,0,99000000,Пресненский,1-й Красногвардейский проезд,15,Деловой центр,Меркурий Тауэр
Екатерина Федотова,realtor,https://www.cian.ru/sale/flat/301846703/,Москва,sale,flat,14,16,1,34.8,-1,0,11000000,Очаково-Матвеевское,Озерная ,29К3,Озёрная,
ID 73038306,real_estate_agent,https://www.cian.ru/sale/flat/301616082/,Москва,sale,flat,4,9,1,30.1,-1,0,12200000,Перово,2-я Владимирская ,3,Перово,
Екатерина Боброва,realtor,https://www.cian.ru/sale/flat/301837625/,Москва,sale,flat,7,12,1,35.0,-1,0,11000000,Лучшая просторная 1 к.кв. в е!1-комн. квартира,35 м²,,,
ЛэндЛ,real_estate_agent,https://www.cian.ru/sale/flat/294760157/,Москва,sale,flat,5,16,1,20.3,-1,0,6900000,Очаково-Матвеевское,Аминьевское шоссе,17,Давыдково,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301782648/,Москва,sale,flat,10,21,1,65.0,-1,0,67000000,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/299330003/,Москва,sale,flat,63,66,1,86.0,-1,0,96000000,Пресненский,1-й Красногвардейский проезд,22,Деловой центр,NEVA TOWERS
Ольга Троицкая,realtor,https://www.cian.ru/sale/flat/299702158/,Москва,sale,flat,3,16,1,39.0,-1,0,7100000,, Дмитрия Кабалевского,20,Ватутинки,
ID 115757863,homeowner,https://www.cian.ru/sale/flat/301203125/,Москва,sale,flat,9,30,1,38.0,-1,0,14000000,Южнопортовый,Волгоградский проспект,32/5к1,Волгоградский проспект,
Лофт Инвест,real_estate_agent,https://www.cian.ru/sale/flat/299893948/,Москва,sale,flat,5,16,1,38.9,-1,0,11300000,Отрадное,Алтуфьевское шоссе,2,Владыкино,
Кремлёвские Ключи,real_estate_agent,https://www.cian.ru/sale/flat/301136222/,Москва,sale,flat,2,6,1,9.6,-1,0,3090000,Северное Измайлово,Сиреневый бульвар,15,Щёлковская,
СОВКОМБАНК,official_representative,https://www.cian.ru/sale/flat/297233032/,Москва,sale,flat,12,12,1,39.0,-1,0,9750000,Гольяново,Уральская ,1,Щёлковская,
ФОРА,real_estate_agent,https://www.cian.ru/sale/flat/294768332/,Москва,sale,flat,4,6,1,39.3,-1,0,15500000,Хорошевский,2-й Хорошевский проезд,9К1,Полежаевская,
Homeprice,real_estate_agent,https://www.cian.ru/sale/flat/301044462/,Москва,sale,flat,2,5,1,38.0,-1,0,11200000,Академический, Шверника,14/1К1,Академическая,
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/300329807/,Москва,sale,flat,3,18,1,48.0,-1,0,31990000,Раменки, Янковского,1к2,Аминьевская,Событие
Владис,real_estate_agent,https://www.cian.ru/sale/flat/301837496/,Москва,sale,flat,10,28,1,45.0,-1,0,15499000,Щукино,Волоколамское шоссе,24к1,Стрешнево,Волоколамское 24
ID 96167522,realtor,https://www.cian.ru/sale/flat/298016918/,Москва,sale,flat,3,9,1,30.3,-1,0,6825000,Люблино, Верхние Поля,27С2,Братиславская,
Юлия Иванова,realtor,https://www.cian.ru/sale/flat/301083049/,Москва,sale,flat,45,52,1,43.1,-1,0,25450000,Хорошево-Мневники, Народного Ополчения,15К1,Народное Ополчение,Wellton Towers
ID 96167522,realtor,https://www.cian.ru/sale/flat/301361857/,Москва,sale,flat,5,9,1,29.5,-1,0,6688500,Люблино, Верхние Поля,27С2,Братиславская,
ВСЁ ПРОСТО,real_estate_agent,https://www.cian.ru/sale/flat/300552265/,Москва,sale,flat,8,9,1,33.0,-1,0,8400000,Текстильщики,Люблинская ,35К1,Печатники,
ID 96167522,realtor,https://www.cian.ru/sale/flat/295766411/,Москва,sale,flat,9,9,1,35.3,-1,0,8977500,Люблино, Верхние Поля,27С2,Братиславская,
ID 96167522,realtor,https://www.cian.ru/sale/flat/299789518/,Москва,sale,flat,6,9,1,26.9,-1,0,6507900,Люблино, Верхние Поля,27С2,Братиславская,
ID 95750222,unknown,https://www.cian.ru/sale/flat/300989405/,Москва,sale,flat,6,9,1,33.0,-1,0,14900000,Сокольники, Шумкина,15,Сокольники,
ID 96167522,realtor,https://www.cian.ru/sale/flat/298016388/,Москва,sale,flat,1,9,1,29.8,-1,0,6370000,Люблино, Верхние Поля,27С2,Братиславская,
ID 96167522,realtor,https://www.cian.ru/sale/flat/296746996/,Москва,sale,flat,9,9,1,35.1,-1,0,7220000,Люблино, Верхние Поля,27С2,Братиславская,
ЛэндЛ,real_estate_agent,https://www.cian.ru/sale/flat/300127778/,Москва,sale,flat,4,5,1,33.0,-1,0,12000000,Академический, Дмитрия Ульянова,9/11К1,Академическая,
ID 96167522,realtor,https://www.cian.ru/sale/flat/294228710/,Москва,sale,flat,8,9,1,37.0,-1,0,9215000,Люблино, Верхние Поля,27С2,Братиславская,
ID 96167522,realtor,https://www.cian.ru/sale/flat/298016618/,Москва,sale,flat,4,9,1,36.1,-1,0,9120000,Люблино, Верхние Поля,27С2,Братиславская,
ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/300522888/,Москва,sale,flat,4,5,1,15.9,-1,0,3975000,Перово, 2-я Энтузиастов,5,Авиамоторная,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301520908/,Москва,sale,flat,3,14,1,62.0,-1,0,63000000,Замоскворечье,Мытная ,7с1,Серпуховская,Английский квартал
ID 96167522,realtor,https://www.cian.ru/sale/flat/294226529/,Москва,sale,flat,5,9,1,36.1,-1,0,9120000,Люблино, Верхние Поля,27С2,Братиславская,
Игорь Рупасов,realtor,https://www.cian.ru/sale/flat/300251102/,Москва,sale,flat,13,17,1,35.0,-1,0,15497737,Хорошево-Мневники,проспект Маршала Жукова,37К2,Народное Ополчение,Wellton park
Est-a-Tet – Вторичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301130958/,Москва,sale,flat,16,21,1,48.6,-1,0,25750000,Щукино,Щукинская ,3,Стрешнево,Интонация
ID 96167522,realtor,https://www.cian.ru/sale/flat/296747241/,Москва,sale,flat,4,9,1,36.0,-1,0,9120000,Люблино, Верхние Поля,27С2,Братиславская,
На Петровке,real_estate_agent,https://www.cian.ru/sale/flat/301891372/,Москва,sale,flat,9,21,1,41.7,-1,0,12990000,Новогиреево,Свободный проспект,25К2,Новогиреево,
ID 96167522,realtor,https://www.cian.ru/sale/flat/294926973/,Москва,sale,flat,7,9,1,36.9,-1,0,9215000,Люблино, Верхние Поля,27С2,Братиславская,
ID 96167522,realtor,https://www.cian.ru/sale/flat/298882717/,Москва,sale,flat,9,9,1,36.5,-1,0,9215000,Люблино, Верхние Поля,27С2,Братиславская,
Самолет Плюс Москва ЦАО,real_estate_agent,https://www.cian.ru/sale/flat/300136053/,Москва,sale,flat,3,9,1,32.6,-1,0,9800000,Восточное Измайлово,9-я Парковая ,2,Первомайская,
ID 96167522,realtor,https://www.cian.ru/sale/flat/297465291/,Москва,sale,flat,7,9,1,36.3,-1,0,9215000,Люблино, Верхние Поля,27С2,Братиславская,
ID 96167522,realtor,https://www.cian.ru/sale/flat/295766589/,Москва,sale,flat,9,9,1,35.9,-1,0,9072500,Люблино, Верхние Поля,27С2,Братиславская,
РОСТ-РИЕЛТ на Таганской,real_estate_agent,https://www.cian.ru/sale/flat/299798021/,Москва,sale,flat,2,9,1,31.0,-1,0,9000000,Соколиная гора,Измайловское шоссе,29,Семёновская,
ГОРОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/299055856/,Москва,sale,flat,2,9,1,33.6,-1,0,15500000,Мещанский,Трифоновская ,56,Рижская,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/299093726/,Москва,sale,flat,4,4,1,39.9,-1,0,11700000,Южное Тушино,Окружная ,2,Трикотажная,
Место,real_estate_agent,https://www.cian.ru/sale/flat/298979276/,Москва,sale,flat,11,16,1,44.4,-1,0,12400000,Печатники, Гурьянова,4К1,Печатники,
ID 13544436,realtor,https://www.cian.ru/sale/flat/299397912/,Москва,sale,flat,12,16,1,38.5,-1,0,11890000,,проспект Магеллана,5,Филатов Луг,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/300812067/,Москва,sale,flat,8,17,1,36.2,-1,0,27000000,Тверской,Садовая-Триумфальная ,22/31,Маяковская,
Максим Степанов,realtor,https://www.cian.ru/sale/flat/301343617/,Москва,sale,flat,10,12,1,39.1,-1,0,11400000,Отрадное,Олонецкая ,15Б,Отрадное,
ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/301564205/,Москва,sale,flat,4,5,1,18.8,-1,0,4700000,Перово, 2-я Энтузиастов,5,Авиамоторная,
ID 112582351,realtor,https://www.cian.ru/sale/flat/301044096/,Москва,sale,flat,12,22,1,20.5,-1,0,9200000,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
MERSI,real_estate_agent,https://www.cian.ru/sale/flat/299203398/,Москва,sale,flat,6,18,1,40.9,-1,0,16900000,Академический,Новочеремушкинская ,35к2,Профсоюзная,
Msk Estate,real_estate_agent,https://www.cian.ru/sale/flat/301891999/,Москва,sale,flat,16,22,1,17.3,-1,0,7300000,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
НДВ,real_estate_agent,https://www.cian.ru/sale/flat/300249602/,Москва,sale,flat,1,4,1,14.3,-1,0,15200000,Тверской,Страстной бульвар,12С1,Пушкинская,
Геннадий Устинов,realtor,https://www.cian.ru/sale/flat/298520004/,Москва,sale,flat,4,5,1,32.1,-1,0,12500000,Хорошевский,проезд Аэропорта,6,Аэропорт,
ID 85283713,homeowner,https://www.cian.ru/sale/flat/301519256/,Москва,sale,flat,24,24,1,42.0,-1,0,12200000,Северное Бутово, Грина,1к8,Бульвар Дмитрия Донского,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/300140948/,Москва,sale,flat,11,20,1,44.0,-1,0,22500000,Левобережный,Ленинградское шоссе,69,Беломорская,Aquatoria
ЛИДЕР,real_estate_agent,https://www.cian.ru/sale/flat/300895436/,Москва,sale,flat,7,12,1,27.6,-1,0,6950000,Матушкино,Зеленоград,к158,Зеленоград — Крюково,
Максим  Колесников,realtor,https://www.cian.ru/sale/flat/301350226/,Москва,sale,flat,21,25,1,33.5,-1,0,11950000,Кунцево,№ 100 кв-л,1к3,Павшино,Мякинино парк
ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/292414373/,Москва,sale,flat,16,22,1,14.3,-1,0,7450000,Тропарево-Никулино,Ленинский проспект,158,Тропарёво,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301570159/,Москва,sale,flat,2,12,1,42.6,-1,0,11299000,,бульвар Веласкеса,1к1,Филатов Луг,Испанские кварталы
ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/301906475/,Москва,sale,flat,16,22,1,17.3,-1,0,7700000,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
НДВ,real_estate_agent,https://www.cian.ru/sale/flat/294733815/,Москва,sale,flat,4,5,1,31.1,-1,0,10500000,Северное Измайлово,Сиреневый бульвар,65К4,Первомайская,
ИПОМАКС,real_estate_agent,https://www.cian.ru/sale/flat/301152007/,Москва,sale,flat,4,9,1,28.2,-1,0,5600000,,,18,Апрелевка,
