author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/298376026/,Москва,sale,flat,15,30,1,37.5,-1,0,14500000,Южнопортовый,Волгоградский проспект,32/5к1,Угрешская,
ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/294621795/,Москва,sale,flat,16,22,1,19.3,-1,0,8840000,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
ID 88240881,homeowner,https://www.cian.ru/sale/flat/301874646/,Москва,sale,flat,10,12,1,46.0,-1,0,17700000,Филевский парк,Береговой проезд,9К5,Фили,
НДВ,real_estate_agent,https://www.cian.ru/sale/flat/300153550/,Москва,sale,flat,3,3,1,14.3,-1,0,4350000,Нижегородский,шоссе Фрезер,17АС1,Нижегородская,
НДВ,real_estate_agent,https://www.cian.ru/sale/flat/297855046/,Москва,sale,flat,10,12,1,36.1,-1,0,9850000,Северное Измайлово,11-я Парковая ,48К2,Щёлковская,
BERI,real_estate_agent,https://www.cian.ru/sale/flat/300098216/,Москва,sale,flat,5,9,1,33.1,-1,0,9990000,Восточное Дегунино,Дубнинская ,16К6,Дегунино,
ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/294623881/,Москва,sale,flat,15,22,1,19.9,-1,0,8060000,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/293749407/,Москва,sale,flat,18,21,1,46.7,-1,0,17999900,Хорошево-Мневники, Народного Ополчения,13,Народное Ополчение,Wellton Gold
Елена Павлова,realtor,https://www.cian.ru/sale/flat/301860935/,Москва,sale,flat,1,16,1,37.6,-1,0,8900000,Марьино,Донецкая ,4,Перерва,
Князев и Партнёры,real_estate_agent,https://www.cian.ru/sale/flat/300938234/,Москва,sale,flat,2,2,1,30.0,-1,0,9900000,Текстильщики,Грайвороновская ,4С2,Текстильщики,
ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/292542632/,Москва,sale,flat,22,22,1,19.4,-1,0,8880000,Тропарево-Никулино,Ленинский проспект,158,Тропарёво,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301804694/,Москва,sale,flat,13,13,1,42.3,-1,0,14499999,Коньково, Введенского,5,Беляево,
ПИА Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301398177/,Москва,sale,flat,25,25,1,53.1,-1,0,17050000,Кв-ра в развитом е!1-комн. квартира,25/25 этаж,,,
ID 71755644,unknown,https://www.cian.ru/sale/flat/301847640/,Москва,sale,flat,5,15,1,35.0,-1,0,11800000,Сосенское поселение,проспект Куприна,1к2,,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301737950/,Москва,sale,flat,8,17,1,38.0,-1,0,9000000,Бирюлево Восточное,6-я Радиальная ,7/1к1,Царицыно,Царицыно-2
Брусника Обмен,real_estate_agent,https://www.cian.ru/sale/flat/297827625/,Москва,sale,flat,20,23,1,49.0,-1,0,24900000,Можайский,Гжатская ,5к4,Давыдково,LIFE-Кутузовский
Самолет Плюс Москва ЦАО,real_estate_agent,https://www.cian.ru/sale/flat/301717037/,Москва,sale,flat,4,5,1,31.3,-1,0,10400000,Южное Тушино,Аэродромная ,12К1,Сходненская,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/298340622/,Москва,sale,flat,12,27,1,44.1,-1,0,19000000,Хорошевский, Зорге,9к1,Зорге,Рихард
Эксклюзив Хоум,real_estate_agent,https://www.cian.ru/sale/flat/300622311/,Москва,sale,flat,3,8,1,49.7,-1,0,15950000,Лефортово,Энергетическая ,22,Авиамоторная,
ID 238185,unknown,https://www.cian.ru/sale/flat/300985679/,Москва,sale,flat,9,9,1,32.5,-1,0,12290000,Строгино, Исаковского,12К2,Строгино,
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/298503162/,Москва,sale,flat,13,16,1,34.2,-1,0,9900000,Теплый Стан, Генерала Тюленева,29К1,Тёплый Стан,
Монолит Столица,real_estate_agent,https://www.cian.ru/sale/flat/295404061/,Москва,sale,flat,2,3,1,30.0,-1,0,6200000,, Центральная,35,Крёкшино,
Эксклюзив Хоум,real_estate_agent,https://www.cian.ru/sale/flat/300670685/,Москва,sale,flat,4,5,1,30.0,-1,0,9700000,Южное Тушино,Лодочная ,35С1,Сходненская,
Макспол Парк Культуры,real_estate_agent,https://www.cian.ru/sale/flat/299599495/,Москва,sale,flat,2,12,1,31.05,-1,0,10400000,Чертаново Южное, Академика Янгеля,8,Улица Академика Янгеля,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301277267/,Москва,sale,flat,18,21,1,49.2,-1,0,23990000,Тропарево-Никулино, Мичуринский проспект Олимпийская деревня,1к1,Мичуринский проспект,Чемпион парк
Самолет Плюс Москва ЦАО,real_estate_agent,https://www.cian.ru/sale/flat/301080289/,Москва,sale,flat,15,17,1,49.6,-1,0,12300000,Северное Бутово,Коктебельская ,8,Бульвар Дмитрия Донского,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301928354/,Москва,sale,flat,4,14,1,37.0,-1,0,13200000,Зюзино,Одесская ,22К4,Каховская,
АЛЬФА 2017,real_estate_agent,https://www.cian.ru/sale/flat/301401833/,Москва,sale,flat,3,19,1,39.4,-1,0,9500000,, Москвитина,3к1,Рассказовка,Город-парк Первый Московский
Владис,real_estate_agent,https://www.cian.ru/sale/flat/300870617/,Москва,sale,flat,2,9,1,32.0,-1,0,11200000,Кунцево,Ельнинская ,22К1,Молодёжная,
Бест офис на Таганской,real_estate_agent,https://www.cian.ru/sale/flat/300728418/,Москва,sale,flat,3,19,1,55.7,-1,0,21000000,Хорошево-Мневники,проспект Маршала Жукова,76к2,Народное Ополчение,
СЕДЬМОЕ НЕБО,real_estate_agent,https://www.cian.ru/sale/flat/301279667/,Москва,sale,flat,20,31,1,30.0,-1,0,14950000,Марфино,,к1,Владыкино,Вери ЖК
ID 176308,realtor,https://www.cian.ru/sale/flat/299367215/,Москва,sale,flat,4,12,1,38.6,-1,0,9500000,Бирюлево Восточное,Загорьевская ,23к2,,
ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/298838173/,Москва,sale,flat,2,15,1,48.8,-1,0,12700000,Бирюлево Восточное,6-я Радиальная ,5к1,Царицыно,Царицыно
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/299938068/,Москва,sale,flat,14,17,1,37.9,-1,0,10450000,Братеево, Борисовские Пруды,18К1,Борисово,
Городские квартиры,real_estate_agent,https://www.cian.ru/sale/flat/301724124/,Москва,sale,flat,2,12,1,38.9,-1,0,11490000,Южное Тушино,Химкинский бульвар,21,Сходненская,
Манхэттен эстейт,real_estate_agent,https://www.cian.ru/sale/flat/301755324/,Москва,sale,flat,10,12,1,41.0,-1,0,11500000,, Липовый Парк,2,Коммунарка,Москва А101
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301640179/,Москва,sale,flat,4,9,1,40.87,-1,0,7349000,, Золотошвейная,3,Филатов Луг,Цветочные Поляны
МОЯ СТОЛИЦА,real_estate_agent,https://www.cian.ru/sale/flat/297849335/,Москва,sale,flat,7,9,1,32.0,-1,0,11000000,Ломоносовский, Гарибальди,4К5,Новаторская,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301622153/,Москва,sale,flat,2,9,1,32.0,-1,0,14500000,Хорошево-Мневники,проспект Маршала Жукова,10,Народное Ополчение,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/300419481/,Москва,sale,flat,2,12,1,35.2,-1,0,11200000,Коптево,бульвар Матроса Железняка,11А,Коптево,
Msk Estate,real_estate_agent,https://www.cian.ru/sale/flat/298720724/,Москва,sale,flat,2,4,1,17.5,-1,0,7840000,Соколиная гора,Щербаковская ,53К17,Измайлово,
Оксана Гимишян,realtor,https://www.cian.ru/sale/flat/301316819/,Москва,sale,flat,15,22,1,37.3,-1,0,13800000,Нагорный,Ялтинская ,1,Варшавская,
Станислава Яткевич,realtor,https://www.cian.ru/sale/flat/294768716/,Москва,sale,flat,10,15,1,37.8,-1,0,16800000,Лефортово,проезд Шелихова,2,Площадь Ильича,Символ
ID 182291,real_estate_agent,https://www.cian.ru/sale/flat/301961547/,Москва,sale,flat,4,12,1,34.9,-1,0,11950000,Северное Медведково,Полярная ,36,Медведково,
ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/301108336/,Москва,sale,flat,17,17,1,38.0,-1,0,9550000,Западное Дегунино,Ангарская ,22К1,Грачёвская,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/299732160/,Москва,sale,flat,8,9,1,39.7,-1,0,10760000,Перово,1-я Владимирская ,18К5,Перово,
ID 13122541,unknown,https://www.cian.ru/sale/flat/300779111/,Москва,sale,flat,14,17,1,38.0,-1,0,10500000,Южное Медведково, Молодцова,3,Бабушкинская,
Prime,real_estate_agent,https://www.cian.ru/sale/flat/300941020/,Москва,sale,flat,2,28,1,46.3,-1,0,18400000,Даниловский,1-я оч.,к7,ЗИЛ,Shagal
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/296063154/,Москва,sale,flat,2,14,1,47.6,-1,0,21000000,Преображенское,Краснобогатырская ,90С2,Преображенская площадь,Наследие
Владис,real_estate_agent,https://www.cian.ru/sale/flat/301975471/,Москва,sale,flat,4,16,1,34.3,-1,0,13000000,Нагорный,Симферопольский бульвар,37к1,Чертановская,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298623428/,Москва,sale,flat,2,12,1,38.9,-1,0,9100000,Марьино,Донецкая ,18К2,Курьяново,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/301019177/,Москва,sale,flat,31,34,1,36.0,-1,0,22000000,Хорошево-Мневники,Шелепихинская набережная,34,Шелепиха,Сердце Столицы
Prestige-Resulting,real_estate_agent,https://www.cian.ru/sale/flat/300301003/,Москва,sale,flat,1,12,1,36.0,-1,0,9500000,Южное Бутово,Южнобутовская ,76,Бунинская аллея,
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/299731071/,Москва,sale,flat,8,12,1,44.0,-1,0,13500000,, Татьянин Парк,14к3,Говорово,Татьянин Парк
Московский Риэлторский Центр,real_estate_agent,https://www.cian.ru/sale/flat/301158947/,Москва,sale,flat,4,17,1,37.9,-1,0,9800000,Северное Бутово,Куликовская ,7,Бульвар Дмитрия Донского,
Макспол Парк Культуры,real_estate_agent,https://www.cian.ru/sale/flat/298907853/,Москва,sale,flat,5,9,1,39.1,-1,0,13600000,Алексеевский, Бориса Галушкина,18,ВДНХ,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301379769/,Москва,sale,flat,16,17,1,30.9,-1,0,8500000,Бирюлево Восточное,6-я Радиальная ,7,Царицыно,Царицыно-2
Владис,real_estate_agent,https://www.cian.ru/sale/flat/301156926/,Москва,sale,flat,4,9,1,25.5,-1,0,10000000,Хорошево-Мневники, Народного Ополчения,22К1,Народное Ополчение,
ID 157322,realtor,https://www.cian.ru/sale/flat/301226797/,Москва,sale,flat,2,10,1,47.1,-1,0,9700000,, Липовый Парк,8к1,Коммунарка,Москва А101
Alliance Agency Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/298254403/,Москва,sale,flat,4,33,1,42.9,-1,0,23900000,Останкинский, Годовикова,11к2,Алексеевская,iLove
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/300297108/,Москва,sale,flat,21,22,1,34.0,-1,0,17000000,Хорошевский,1-я Магистральная ,25,Хорошёвская,Сити-комплекс Мята
ID 590915,realtor,https://www.cian.ru/sale/flat/301911914/,Москва,sale,flat,5,14,1,38.0,-1,0,9100000,Некрасовка,1-я Вольская ,10,Люберцы,
MadeState,real_estate_agent,https://www.cian.ru/sale/flat/301364480/,Москва,sale,flat,18,42,1,40.7,-1,0,26500000,Хорошевский,Ленинградский проспект,37/3,Аэропорт,Прайм Парк
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301573550/,Москва,sale,flat,9,18,1,35.0,-1,0,22600000,Таганский,Марксистская ,1к1,Марксистская,
МИЭЛЬ,real_estate_agent,https://www.cian.ru/sale/flat/295649148/,Москва,sale,flat,3,3,1,18.9,-1,0,5570000,Басманный,Большая Почтовая ,38С6,Электрозаводская,
Монолит Столица,real_estate_agent,https://www.cian.ru/sale/flat/301267118/,Москва,sale,flat,13,23,1,104.0,-1,0,44700000,Басманный,набережная Академика Туполева,15,Бауманская,Каскад
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301184666/,Москва,sale,flat,12,22,1,45.0,-1,0,22500000,Тропарево-Никулино,Озерная ,35,Озёрная,Пикассо
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/300936684/,Москва,sale,flat,9,9,1,33.7,-1,0,10488000,Коньково,Профсоюзная ,99,Беляево,
ID 11311889,unknown,https://www.cian.ru/sale/flat/301085182/,Москва,sale,flat,20,28,1,21.5,-1,0,18500000,Даниловский,Дубининская ,59А,Серпуховская,Павелецкая Сити
Метр-Инфо,real_estate_agent,https://www.cian.ru/sale/flat/301808361/,Москва,sale,flat,11,25,1,46.0,-1,0,25700000,Очаково-Матвеевское,Нежинская ,5к2,Матвеевская,Городские резиденции SPIRES
ID 61564218,unknown,https://www.cian.ru/sale/flat/301103601/,Москва,sale,flat,15,15,1,44.2,-1,0,11900000,Солнцево,Родниковая ,5А,,
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/299198123/,Москва,sale,flat,9,46,1,43.5,-1,0,23000000,Хорошево-Мневники,Шелепихинская набережная,34к6,Шелепиха,Сердце Столицы
Century21 Феникс,real_estate_agent,https://www.cian.ru/sale/flat/300726879/,Москва,sale,flat,1,5,1,14.0,-1,0,10770000,Басманный, Покровка,31С1г,Курская,
Сергей Таранец,realtor,https://www.cian.ru/sale/flat/298748477/,Москва,sale,flat,4,6,1,32.0,-1,0,9300000,Северное Измайлово,Сиреневый бульвар,47,Щёлковская,
